,Sentence,Sentiment
1141,operating profit in the fourth quarter fell to eur33m from eur39m a year earlier .,negative
1142,$jd down 20% in after-hour market. anyone care to explain why?,negative
1143,"operating profit totalled eur 83.0 mn , up from eur 23.5 mn year-on-year .",positive
1144,brief-aviva aims to increase dividend pay-out ratio to 50 pct in 2017,positive
1145,$expe working on the second leg of its reversal run as it breaks another down trend and continues higher. https://t.co/76dsjysyr0,positive
1146,"geosentric is acquiring extra financing by issuing a maximum of 220,000 new shares and a convertible bond with subscription rights for 880,000 shares , which have been fully subscribed .",neutral
1147,"$adbe technical alerts: expansion breakout, gilligan's island sell setup, volume surge, and new 52... https://t.co/lxx66tknfh",positive
1148,$iwm same conditions that sent markets to tumble all hitting this week,negative
1149,$aapl near a 3% drop thats a lot... now the best i can do is hold er lol,negative
1150,operating profit improved by 27 % to eur 579.8 mn from eur 457.2 mn in 2006 .,positive
1151,"on dec. 1 , grimaldi acquired 1.5 million shares and a 50.1-percent stake in finnlines .",neutral
1152,shire proposes $30 bln all-share tie-up with baxalta,positive
1153,"last july , the group said it intended to relocate warehouse and office space in loudeac and saint marcel to morvillars , in the east of france , where it already operates a hook manufacturing and distribution unit .",neutral
1154,pohjola and cooperative banks have continued to combine their branch office network .,neutral
1155,"prothious engineering ( www.prothious.com ) employs more than 1,000 and has a large portfolio of projects and an annual detailing capacity of more than 100,000 tonnes .",neutral
1156,"qualcomm estimated a first-quarter profit between 46 and 50 cents a share , excluding certain items , below the analyst estimate of 61 cents a share .",neutral
1157,"the liquidity providing was interrupted on may 11 , 2007 when aspocomp group oyj 's shares traded below 0.50 cent ( aspocomp 's stock exchange release 11.5.2007 ) .",negative
1158,the subscription period of amer sports ' 2002 warrant scheme will end on 31 december 2007 .,neutral
1159,this transaction will also rationalize our pulp and paper industry related solutions .,positive
1160,"schwalm ( at ) outotec.com eila paatela , vice president - corporate communications tel. +358 20 529 2004 , mobile +358 400 817198 e-mail eila .",neutral
1161,"i am looking forward to contribute to srv 's success with my competence '' , says taneli hassinen .",positive
1162,"in the fourth quarter of 2008 , net sales decreased to eur 121.4 mn from eur 165.5 mn in the fourth quarter of 2007 .",neutral
1163,astrazeneca's medimmune inks licensing deal with omnis pharmaceuticals,positive
1164,"order intake grew by 40 % year-on-year and 30 % year-on-year , respectively , to eur 576 million and eur 1.7 billion for the respective january-september and july-september 2010 periods .",positive
1165,"during the strike , finnair estimates to incur a net loss of between eur2m and eur2 .5 m per day .",negative
1166,"currently , 95 % of trainers house 's revenues are attributed to the finnish market .",neutral
1167,the oxyview pulse oximeter is a common device to check patient blood-oxygen saturation level and pulse rate .,neutral
1168,"the russian gas giant invested another 46 million litas in the company in late 2004 and now owns 99.5 percent of its stock capital , which amounts to 86.936 million litas .",neutral
1169,"the company will use the money for product development and research activities through 2013 in its key markets finland , germany , italy and france .",neutral
1170,"through its partnership with finnish paulig 's danish subsidiary oscar , puljonki acquired a sales organization in the european market .",neutral
1171,finnish oko bank has signed a cooperation agreement with raiffeisen concerning finnish companies ' investments in russia .,positive
1172,finnish bank alandsbanken said monday it will buy the swedish operations of iceland 's troubled kaupthing bank for 414 million kronor $ 49.5 million in cash .,neutral
1173,exports grew 16.5 percent to 19.1 million liters .,positive
1174,"digia said its consolidated net sales for january-june 2010 were eur67 .8 m , up 9.7 % on the same period in 2009 ( eur61 .9 m ) .",positive
1175,"the company , employing 6,400 , reported net sales of 620 mln euro $ 823.2 mln for 2006 .",neutral
1176,trlpc - crh backs lafarge holcim asset buy with 6.5 bln euro bridge loan,positive
1177,g4s sees profits rise but uk contract problems remain,positive
1178,the office space will rise above the remodeled cannon street underground station .,neutral
1179,"according to the original merger plan , scanfil would get a 79 % stake in the combined business .",neutral
1180,"as a result , the company will temporarily lay-off 25 % of the whole personnel , approximately 270 persons at kirkkonummi and nivala factories .",negative
1181,"in 2006 , kone received an order from aker yards to supply 43 customised elevators for the very first genesis cruise ship which is scheduled to be completed in 2009 .",positive
1182,the service also enables users to watch e-mails in html format en is enhanced with 23 addition languages to choose from .,neutral
1183,"previously , grimaldi held a 46.43 pct stake in the finnish company following the takeover bid launched in november 2006 .",neutral
1184,update 3-auto trader shares leap in uk's biggest private equity-backed listing,positive
1185,"so far as is known , he did not sell shares that he owns personally .",neutral
1186,"( adpnews ) - oct 21 , 2009 - finland-based it consultancy tieto oyj ( hel : tie1v ) said today its net profit plunged to eur 29.4 million ( usd 43.9 m ) for the first nine months of 2009 from eur 58.7 million for the same period o",neutral
1187,"a corresponding increase of 85,432.50 euros in ahlstrom 's share capital has been entered in the trade register today .",neutral
1188,"following its strategy , tikkurila has established a fully-owned sales company too tikkurila in almaty , kazakhstan , for marketing decorative paints under the finnish tikkurila brand and the russian teks brand .",neutral
1189,related links : flexiblebaseloadoperation thewartsila32generating set gasconversions this is the shorter of two versions of this press release .,neutral
1190,"the inventors are bylander johan , ponten fredrik and lundberg jorgen .",neutral
1191,"the inventors are mukkavilli krishna kiran , sabharwal ashutosh and aazhang behnaam .",neutral
1192,"in the third quarter , net sales increased by 12 % year-on-year to eur159 .5 m , or by 6 % at comparable currency rates growth .",positive
1193,"the network test business is part of elektrobit 's test and automation business segment and employs 39 people in finland and 22 people abroad , mainly in the us and asia .",neutral
1194,"the fair value of the investment properties totaled eur 2,534.9 mn , up from eur 2,455.1 mn in 2006 .",positive
1195,diluted eps rose to eur3 .68 from eur0 .50 .,positive
1196,long $vvus shares as a call option w/ an expiration of..  umm.. today.    hitting hod here.,positive
1197,"there will be return flights from stuttgart every morning , as well as evening departures on thursdays , fridays and sundays .",neutral
1198,raute corporation has received orders worth over eur 12 million from ooo ilim bratsk dok in russia .,positive
1199,`` we 've been feeling quite positive about the region as a whole .,positive
1200,"under the terms of the agreement , bunge will acquire raisio 's keiju , makuisa and pyszny duet brands and manufacturing plants in finland and poland .",neutral
1201,companiesab inbev signals it won't go hostile for sabmiller,positive
1202,the iso certification demonstrates that we are moving forward in our quality commitments to our customers . ',positive
1203,"the decision will have to be made whether the group agrees to the import of estonian meat and meat products to finland , the paper added .",neutral
1204,salcomp manufacturing oy will pay eur 35 million in cash to salcomp in connection with the implementation of the sale and transfer of the business .,neutral
1205,"alexandria , va. , dec. 22 -- united states patent no. 7,854,608 , issued on dec. 21 , was assigned to outotec oyj ( espoo , finland ) .",neutral
1206,"finnish it solutions provider affecto oyj hel : afe1v said today its slipped to a net loss of eur 115,000 usd 152,000 in the second quarter of 2010 from a profit of eur 845,000 in the corresponding period a year earlier .",negative
1207,"the newly-completed allure of the seas and its identical sister ship , oasis of the seas , which was completed last year are the world 's largest cruise ships .",neutral
1208,after 1 april 2007 cencorp will not have any own employees in the territory .,neutral
1209,"based in helsinki , finland , ramirent has branches in 13 nordic , central and eastern european countries .",neutral
1210,"s business sectors are building construction , infrastructure construction and technical building services .",neutral
1211,"www.countryelements.co.uk designed by patricia burt , this is just one of a selection of distinctive hooked rugs created with recycled materials and dyed natural dyes .",neutral
1212,infection worries prompt regulatory reviews of gilead leukaemia drug $gild https://t.co/h9vqxpz15g via @yahoofinance,negative
1213,the department store division 's sales fell by 8.6 % to eur 140.2 mn .,negative
1214,"significance : teleste has emphasised that with its large size and growing economy , as well as the rapid development of its tv services distribution industry , poland is viewed as an attractive market .",positive
1215,"technopolis plans to develop in stages an area of no less than 100,000 square meters in order to host companies working in computer technologies and telecommunications , the statement said .",neutral
1216,"in finland , export industry forms a large clientele for the packaging industry .",neutral
1217,"( adp news ) - oct 31 , 2008 - finnish food company raisio oyj ( omx : raivv ) said today that its net profit jumped to eur 16.4 million ( usd 20.9 m ) for the first nine months of 2008 from eur 1.1 million for the same period of 2",positive
1218,you will hear the latest insights and updates on citycon 's strategy as well as the latest news from all the business units .,neutral
1219,"$xlf http://stks.co/1kj9 bounced off target buy area, bought $skf as a hedge. watch 50ma's slope",negative
1220,"bhp billiton posts big loss, slashes dividend",negative
1221,they will be sunk to a depth of some 360-380 metres and fixed to the bottom mud by vacuum .,neutral
1222,device volume in the area decreased by 21 % to 2.7 mn units .,neutral
1223,sponda will record a profit from the sale of 8.5 mln euro ($ 12.4 mln).,positive
1224,"berling capital , umo capital and veikko laine are the biggest shareholders in amanda capital .",neutral
1225,$trx http://stks.co/1kkk long setup. macd cross.,positive
1226,"according to ultrascan , with a software acquired from crackers , it has managed to change the mobile phone in a way that the phone was able to get hold of a one-time password sent by a bank via a text message .",neutral
1227,"in the beginning of the negotiations , the estimated number of reductions was 50 at the maximum .",neutral
1228,the group 's business is balanced by its broad portfolio of sports and presence in all major markets .,positive
1229,"elcoteq 's global service offering covers the entire lifecycle of products , from product development to after-market services .",neutral
1230,$pcln back to back intraday reversals look out below. shorts moving in!,negative
1231,"outotec 's scope of delivery covers the engineering , supply of special equipment and services for a calcination plant with two circulating fluid bed calciners .",neutral
1232,solidium now holds 5.0 per cent of the shares solidium oy has acquired 5.0 per cent of the shares in tieto corporation for approximately eur 58 million .,neutral
1233,raute is listed on the nordic exchange in helsinki .,neutral
1234,$spy  still wants higher i think.,positive
1235,finnish forest industry group stora enso oyj issued on thursday ( 20 march ) a profit warning for the first quarter 2008 .,neutral
1236,poyry has a good track record of major transportation projects in latin america .,positive
1237,"the announcement pushed freenet shares down 6.3 % , or eur0 .71 , in frankfurt trade to eur10 .65 as investors gave up hope united internet ag and drillisch would pursue their own takeover and breakup of freenet .",neutral
1238,"at 10.33 am , huhtamaki was the market 's biggest faller , 8.69 pct lower at 11.35 eur , while the omx helsinki 25 was 0.32 pct higher at 3,332.41 , and the omx helsinki was up 0.47 pct at 11,687.32 .",negative
1239,these measures are expected to produce annual cost savings of eur 1.5 million starting in 2007 .,positive
1240,"the annual general meeting approved that the yearly remuneration for the members of the board of directors shall remain at eur 40.000 for the chairman of the board , eur 30.000 for the deputy chairman of the board and eur 20.000 for other members of the board .",neutral
1241,sanoma magazines finland 's net sales grew to eur 140.1 mn from eur 131.8 mn .,positive
1242,ruukki 's order book at the end of 2010 was 30 % up year-on-year and 10 % up quarter-on-quarter .,positive
1243,the repurchases shall decrease the distributable capital and reserves .,negative
1244,pretax loss totalled eur 162.3 mn compared to a profit of eur 253.5 mn in 2007 .,neutral
1245,$kior my god. market getting crushed today. gotta hold if anything g should recover some tomorrow i imagine.,negative
1246,"at the end of march 2007 , the group 's order book was at eur 39.6 mn , up 42 % from the corresponding period in 2006 .",positive
1247,"national conciliator juhani salonius , who met both parties on wednesday , said they were too far apart in their views for him to propose mediation .",negative
1248,metsaliitto said that it will book a minor gain of less than eur1 .0 m from the transaction .,positive
1249,"known as post bank , the concept would see fidelity bank rolling out 75 offices in ghana post premises , to provide financial services to the people .",positive
1250,uk's ftse has worst day so far in 2015 as bg and prudential fall,negative
1251,finnish retail software developer aldata solution oyj reported a net loss of 11.7 mln euro $ 17.2 mln for 2007 versus a net profit of 2.5 mln euro $ 3.7 mln for 2006 .,negative
1252,lse-deutsche bã¶rse dealmakers wrong to ignore brexit risk,negative
1253,aker yards finland will begin using chinese subcontractors at its finnish shipyards .,neutral
1254,"it is part of the development of the world-class magnetite deposit at karara , which has the known potential for over 30 million metric tons of annual processing of magnetite over its estimated 30-year life .",neutral
1255,glencore slumps 25 pct as debt fears grow,negative
1256,standard chartered not raising capital yet as dividend cut,negative
1257,$sonc amazing run since middle of march - obvious that the quality/tastiness of their burgers is not being factored into this price advance,positive
1258,the air traffic of finland has been in stoppage since then .,negative
1259,update 1-engineering firm smiths group confirms ceo appointment,neutral
1260,55 workers in +àm+ñl will be affected by the close-down .,negative
1261,karppinen expects the consolidation trend to continue in the finnish market .,neutral
1262,metso estimates the need for personnel reductions to amount to 25 people .,neutral
1263,"$aapl aapl: gundlach slams ipad mini, sees downside to $425. http://stks.co/bdqv",negative
1264,astrazeneca shares climb 3% as drug maker ups profits forecasts,positive
1265,- operating profit rose by 26.9 % to eur 105.8 ( 83.4 ) million .,positive
1266,the eps improved to eur0 .38 from eur0 .27 .,positive
1267,insight hires aviva's david hillier for multi-asset team,positive
1268,the center will be built in the kapuli district of mantsala beside the hanko-mantsala-porvoo road near the new direct rail link between lahti and jarvenpaa .,neutral
1269,"it grew in finland , norway , denmark and the baltic countries .",neutral
1270,today i bought more $mu $yhoo $vale $nbl $twtr $axp $znga https://t.co/vt6t5zp2is,positive
1271,"proline plus is available in both adjustable single and multichannel models and fixed volume single-channel models , in volume ranges from 0.1 micro litres to 10 ml .",neutral
1272,the final outcome of the rights offering is to be reported around 23 october 2009 .,neutral
1273,vaisala 's board of directors will propose a dividend of 0.85 euro $ 1.24 per share at the company 's annual general meeting .,neutral
1274,"body the credit falls due february 24 , 2014 .",neutral
1275,"i'm liking the price action in $swks, currently @21.80 ; my target: 24.00+ before year end.",positive
1276,"the report also said nokia 's operations comprising the sites at bochum , ulm , dusseldorf , munich and frankfurt posted operating profit after interest of 246 mln eur .",neutral
1277,"as a result , the company has decided it will implement fixed-term temporary lay-offs .",neutral
1278,copper market may get a 2003-style supply shock from glencore closures,negative
1279,"according to the company 's updated strategy for the years 2009-2012 , basware targets a long-term net sales growth in the range of 20 % -40 % with an operating profit margin of 10 % -20 % of net sales .",positive
1280,scanfil holdings include 100 % of contract electronics manufacturer scanfil ems group .,neutral
1281,"dubai nokia has announced the launch of `` comes with music '' , its ground-breaking service which introduces a new way for people to enjoy music .",positive
1282,"finnish metal components supplier componenta on december 26 , 2006 applied for approval with the turkish capital markets board to launch a mandatory offer for the remaining shares in iron and aluminium castings producer doktas dokumculuk .",neutral
1283,"cost savings will then rise to some 20 mln eur a year from 2007 , oko said .",positive
1284,"biohit and vwr have been in close cooperation for a number of years in the us , where biohit is one of vwr 's focus suppliers .",positive
1285,finnlines said that the deal is part of its strategy to focus on its core businesses .,neutral
1286,"the order comprises all production lines for a plywood mill , company said in a statement received by lesprom network .",neutral
1287,$spy long 1/2 position 137.89,positive
1288,the total value of these two contracts is over eur 21 million .,neutral
1289,"( adp news ) - oct 1 , 2008 - finnish consulting and engineering company poyry oyj ( omx : poy1v ) said today it was awarded a eur 5.2 million ( usd 7.4 m ) extension to their existing consultancy engineering contract with venezuel",positive
1290,no service pricing details were disclosed .,neutral
1291,"$tsla recalls 2,700 model x vehicles; shares volatile https://t.co/tckqznmiqx #tsla #tech #stockmarket https://t.co/femhjtamqj",negative
1292,"equipment will be manufactured in vaahto 's workshop in hollola , finland and is scheduled for shipments during the first quarter of 2009 .",neutral
1293,$fb still a dog going much lower this week,negative
1294,the expanded plant is scheduled to be operational by the middle of october 2009 .,neutral
1295,"in july-september 2008 , yit 's net sales increased to eur 970.8 mn , compared to eur 906.8 mn in the corresponding period in 2007 .",positive
1296,"in finland , op-pohjola 's staff union is boycotting the group 's insurance sales tasks because the company has refused to take the sale of insurance into account in determining wages .",negative
1297,the aforementioned shareholders have informed that they will propose to the annual general meeting that the number of members of the board of directors shall be five and that besides the present members of the board of directors also mr lassi noponen shall be elected to the board of directors .,neutral
1298,"$tsla recalls 2,700 model x cars. stock dropping hard...",negative
1299,"in finland , insurance company pohjola and the finnish motorcyclist association have signed an agreement with the aim of improving motorcyclists ' traffic safety .",positive
1300,"tikkurila , a division of kemira group , controls about 23 % of the russian market in its field and owns st. petersburg paint producer tex. .",neutral
1301,the department store division reported an increase in sales of 4 per cent .,positive
1302,"in the baltic countries , atria 's target is organic growth .",neutral
1303,operating profit rose to eur 103.4 mn from eur 23.2 in the corresponding period in 2006 .,positive
1304,the group 's revenue in 2008 amounted to eur 94 million and the company currently employs approximately 730 people .,neutral
1305,the board of directors also proposed that a dividend of eur0 .20 per outstanding share be paid .,neutral
1306,$ea points to the two facebook games and accuses $znga of copyright infringement. http://stks.co/g3a1,negative
1307,"in the second quarter of 2010 , the group 's net profit rose to eur3 .1 m from eur2 .5 m in april-june 2009 .",positive
1308,otherwise the situation is under control .,neutral
1309,juniper tumbles on q1 warning; cisco also lower $jnpr $csco https://t.co/bgvintk43h,negative
1310,"in beers , olvi retained its market position .",neutral
1311,"in finland , the city of forssa has said it will not pay compensation to food industry companies hk ruokatalo and atria for the lye leak into tap water that occurred in march 2008 .",negative
1312,"according to latest information , benefon will launch its twig device on 20 september 2006 .",neutral
1313,"exports accounted for 65.4 % of net sales , representing an all time record for the company .",positive
1314,"according to nordic financial group nordea 's analyst sami sarkamies , this makes nokia 's portfolio competitive again .",positive
1315,"the payment of 2.779 million litas in interest on a long-term loan provided by ragutis ' majority shareholder , estonia 's a. le coq , also added to the losses .",neutral
1316,aspocomp has a large factory in china and a factory building project in india that was halted due to financing problems .,neutral
1317,"finnish steel maker rautaruukki oyj ( ruukki ) said on july 7 , 2008 that it won a 9.0 mln euro ( $ 14.1 mln ) contract to supply and install steel superstructures for partihallsforbindelsen bridge project in gothenburg , western sweden .",positive
1318,"profit for the period totalled eur 0.8 mn , down from eur 1.1 mn in the corresponding period in 2008 .",neutral
1319,"both operating profit and turnover for the six-month period increased , respectively , from eur17 .6 m and eur1149 .9 m , as compared to the corresponding period in 2007 .",positive
1320,"helsinki thomson financial - shares in cargotec fell sharply in early afternoon trade after the cargo handling group posted a surprise drop in april-june profits , which overshadowed the large number of new orders received during the three months .",neutral
1321,doubts grow over glaxosmithkline's $6 bln capital return plan,negative
1322,altogether 150 subjects with mildly elevated cholesterol levels participated in the four-month long intervention .,neutral
1323,"128,538 shares can still be subscribed for with series e share options , max .",neutral
1324,"comptel corporation sami ervio president and ceo , distribution : nasdaq omx helsinki major media comptel dynamic oss solutions enable telecom service providers to deliver services flexibly and charge them effectively .",neutral
1325,"operating profit for the nine-month period increased from eur3 .1 m and net sales increased from eur61 .5 m , as compared to the corresponding period in 2007 .",positive
1326,absolut bank is exploring the possibility of further borrowing .,neutral
1327,$nke gapping up to all time highs http://stks.co/q1jau #tradeideas http://stks.co/r1j6c,positive
1328,the value of the order is around eur 100 million .,neutral
1329,"elisa said mobile subscriptions grew 7 percent during 2007 , mainly because of customers adopting so-called third generation mobile technology .",positive
1330,"in q2 of 2009 , profit before taxes amounted to eur 13.6 mn , down from eur 26.8 mn in q2 of 2008 .",negative
1331,berkshire hathaway names kara raiguel to lead general re unit,neutral
1332,"srv will raise its holding in the company so that by the summer of 2008 , it will have a majority .",positive
1333,"olvi , which controls a 94 percent stake in ragutis through a. le coq , said in its annual report published earlier this year that the lithuanian brewery 's sales reached 15.04 million euros last year , a rise of 20.4 percent from 12.49 million euros in 2004 .",positive
1334,"kesko offers hilton to open a hotel on kalinisky prospect in a 18,000-square metres building because of these difficulties .",neutral
1335,as a result of these negotiations the company has decided to make 45 people redundant on financial and production grounds .,neutral
1336,the air traffic of finland has been in stoppage since then .,neutral
1337,the new b shares carry the right to dividend and other shareholder rights with effect from today .,neutral
1338,also the traditional grapevine carries a lot of weight .,neutral
1339,"the company has a continuous need for alloys such as nickel , ferro-chrome , molybdenum and manganese in its production , said talvivaara .",neutral
1340,"rautakesko 's business operations in norway and russia , acquired in july 2005 , are included in the figures of the comparable period , impacting sales growth starting from august .",neutral
1341,"the fair value of the property portfolio doubled as a result of the kapiteeli acquisition and totalled eur 2,686.2 1,259.7 million .",positive
1342,the company says the measures are no longer needed .,neutral
1343,the reduction notice applied to 17 people .,neutral
1344,"the omx helsinki index was 0.33 pct lower at 9,364.80 , while the omx helsinki cap portfolio index was down 0.34 pct at 5,029.25 .",negative
1345,bm4 middle layer headbox will be equipped with a dilution control system .,neutral
1346,"cencorp estimates that its net sales in the last quarter will be as earlier stated , eur4 .3 m to eur5 .0 m , and operating profit (ebit)is estimated to be positive .",positive
1347,$fti breakout today after reporting earnings last night,positive
1348,"in the fourth quarter of 2009 , atria 's net loss shrank to eur 1.2 million from eur 5.9 million and net sales contracted to eur 340.4 million from eur 361.1 million .",positive
1349,"therefore , the company 's 2005 result will remain weaker than that of 2004 .",negative
1350,"however , simdax will remain available in the markets where it already has been approved as it has marketing authorisations or submitted applications in more than 40 countries , orion added .",positive
1351,relief for lewis as tesco sees sales grow for first time in a year,positive
1352,$tspt  long 8.00,positive
1353,relations with the city have been further damaged by comments from mr ashley criticising city investors and analysts as `` cry babies '' .,neutral
1354,honkarakenne oyj - a world-leading manufacturer of genuine wooden homes - will be sponsoring finnish crosscountry skier virpi kuitunen for the next three years .,neutral
1355,the company said it observed a current stabilisation in prices and there is potential for higher prices for deliveries in the first quarter of 2011 .,positive
1356,eur 220 million of the transaction consideration was paid in the form of four-year interest-bearing vendor notes .,neutral
1357,ruukki group calculates that it has lost eur 4mn in the failed project .,neutral
1358,$fb big money is pouring into facebook from all directions;http://stks.co/sowg,positive
1359,scania morgan stanley lifted the share target on swedish heavy-duty truck and bus maker scania ab to 330 crowns ( $ 42.4 - 35.2 euro ) from 310 crowns ( $ 39.8 - 33.1 euro ) .,positive
1360,"in 2006 , teliasonera net sales were sek 91 bn , ebitda was sek 32.266 bn , net income was sek 19.28 bn .",neutral
1361,"uponor made an operating profit of eur 151.0 mn , up from eur 143.7 mn , which made 2007 a record year .",positive
1362,tekla structures 16 is ` all about you and your team ' and compatible with the windows 7 operating system .,neutral
1363,"country : , finland sector : construction-real estate target : pohjolan design-talo oy buyer : capman oyj vendor : ruukki group oyj deal size in usd : 102.6 m type : divestment status : agreed",neutral
1364,"finnish suominen corporation that makes wipes , nonwovens , and flexible packaging , has a plant near warsaw , in poland , that makes flexible packaging .",neutral
1365,"operating profit , excluding non-recurring items , totaled eur 0.2 mn , down from eur 0.8 mn in the corresponding period in 2006 .",neutral
1366,"`` however , the rapidly increasing costs and the strengthening of the euro were challenging for the whole industry , and they impacted on our results . ''",neutral
1367,"net profit in the three months through march 31 fell to (  x20ac ) 103 million ( us$ 165 million ) from (  x20ac ) 131 million a year earlier , the finnish company said .",neutral
1368,"nokia oyj 's production site at bochum , germany , posted profit before interest of 134 mln eur for 2007 , capital reported in an excerpt of an article to be released tomorrow , citing internal documents .",neutral
1369,"rapala vmc corporation stock exchange release october 10 , 2008 at 11.45 am kaupthing bank oyj ( `` kapthing '' ) has informed rapala vmc corporation ( `` rapala '' ) that it has interrupted the liquidity providing for rapala 's share for the time being .",negative
1370,the divested activities had net sales of eur 145.1 million in 2009 and an operating profit of eur 8.9 million .,neutral
1371,$wynn big bounce,positive
1372,"the polish business employs about 1,000 people , and it had net sales of about eur 70mn in 2007 .",neutral
1373,"royal mail, johnson matthey lead ftse lower",negative
1374,morrisons faces festive sales test,negative
1375,"dirk jones , head of financial institutions client sales management , gts , citigroup , inc , said , ` citi is extremely pleased to be providing global custody services to pohjola group bank .",positive
1376,"fda approves nps drug, in move validating shire takeover deal",positive
1377,20 october 2010 - finnish metal products company componenta oyj hel : cth1v said yesterday that its net loss narrowed to eur7m for the first nine months of 2010 from eur23 .3 m for the same period of 2009 .,positive
1378,"the period 's sales dropped to eur30 .6 m from eur38 .3 m , according to the interim report , released today .",negative
1379,"department store sales improved by 14 % to eur 1,070.6 mn .",positive
1380,"the executive said that countries such as brazil , chile , argentina and mexico will lead the adoption in the business ethernet services segment , while brazil and mexico will be the early adopters of carrier ethernet for mobile backhaul .",neutral
1381,marketing will use tikkurila 's existing infra structure and local knowledge in russia .,neutral
1382,$twtr the best scenario going forward is this stock slowly falling everyday....which is quite probable...,negative
1383,"baird likes $tsla - upgrades to outperform, lifts price target to $300. research firm also sees no capital raise necessary in next few qtrs",positive
1384,"global sports equipment maker amer sports corp. , whose brands include atomic , salomon and wilson , saw a 64 percent increase in third-quarter net profit to euro 47.4 million $ 65 million on strong sales and cost cuts .",positive
1385,$fb watching for bounce tomorrow,positive
1386,"in addition , the company is considering the start of production in russia .",neutral
1387,netcom expects to complete turbo 3g deployment in these areas this year .,neutral
1388,j+ñrvi-suomen portti is also planning to reduce the use of sodium nitrite .,neutral
1389,"according to ceo matti perkonoja of the parent company hkscan , the company 's performance in the first quarter of 2010 has remained clearly below the level of the corresponding period in 2009 .",negative
1390,"the company will publish its financial statement for 2008 on february 25 , 2009 .",neutral
1391,"the share sale , to foreign and finnish investors , is expected to raise some euro300 million ( us$ 380 million ) .",neutral
1392,$spy http://stks.co/1mir we're holding above wednesday and thursday closes. i'm leaning bullish. small postions. waiting.,positive
1393,"finnish plumbing and heating systems supplier uponor 's net sales from continuing operations decreased by 9.4 % in 2008 to eur 949.2 mn from eur 1,047.4 mn in 2007 .",negative
1394,"the handset also features a media bar for quick access to favorite media and applications , including music , photos , youtube or ovi share .",neutral
1395,finnish honkarakenne that specialises in the building of log houses is planning to use pine from russian karelia .,neutral
1396,among the biggest christmas sellers were a  35 satin bow shift dress styled on outfits worn by victoria beckham and a  75 paris hilton prom dress .,neutral
1397,below are unaudited consolidated results for aspocomp group under ifrs reporting standards .,neutral
1398,"comparable operating profit for the quarter decreased from eur510m while sales increased from eur860m , as compared to the third quarter 2007 .",neutral
1399,$rad all my charts are flashing oversold.,neutral
1400,$fb gettin in the buy zone soon ;),positive
1401,the order was valued at over eur15m .,neutral
1402,"finnish financial software solutions developer basware oyj said its net profit fell to 884,000 euro ( $ 1.2 mln ) for the first quarter of 2007 from 2.0 mln euro ( $ 2.7 mln ) a year earlier .",neutral
1403,windows 10 is awful why did it force an upgrade on my pc without my consent? #windows #microsoft $msft,negative
1404,"finnish forest machinery and equipment maker ponsse oyj said on october 5 , 2007 it will deliver a total of 67 cut-to-length method forest machines and 44 harvester heads to brazilian paper maker bahia pulp and to unnamed uruguayan wood harvesting contractors .",positive
1405,"finnish software company qpr software plc ( omx helsinki : qpr1v ) reported on thursday ( 23 october ) an operating profit of eur63 ,000 on net sales of eur1 .5 m for the third quarter 2008 .",neutral
1406,"both operating profit and net sales for the nine-month period increased , respectively by 26.6 % and 3.4 % , as compared to the corresponding period in 2006 .",positive
1407,an international conference call and audio webcast concerning the financial result january-march 2010 will begin at 14.00 eet .,neutral
1408,"finnish kemira 's net sales eur decreased to eur 1,259.6 mn in january-june 2009 from eur 1,425.1 mn in january-june 2008 .",negative
1409,"$zsl looking very weak, could be a good short setup.",negative
1410,"the rme from telcontar enables the handset to calculate the best route and includes support for user-defined routes , feature navigability and multi-modal routing such as via foot and ferry .",neutral
1411,calls to the switchboard and directory services have decreased significantly since our employees now have up-to-date contact information from all their colleagues and customers on their phone and can place the call directly .,neutral
1412,"ap: caterpillar posts 60 percent jump in 4q profit on steep global sales increase, tops wall st. view > $cat",positive
1413,insurance policies should be simple .,neutral
1414,nokia and capcom announced that resident evil degeneration will be released on n-gage later this year .,neutral
1415,"the steelmaker said that the drop in profit was explained by the continuing economic uncertainty , mixed with the current drought in bank lending , resulting in a decline in demand for its products as customers find it increasingly difficult to fund operations .",negative
1416,$spy weak close,negative
1417,compass group says positive for year ahead,positive
1418,upm-kymmene said its has ` not indicated any interest in any domestic consolidations ' .,neutral
1419,it also turned in earnings per share ( eps ) of eur 0.44 versus loss per share of eur 2.26 .,positive
1420,"janno reiljan , a member of the eesti energia supervisory board , said the owners of narva power grid had informed eesti energia about their wish to sell .",neutral
1421,"the antibody , administered at repeated doses of up to 8 mg-kg , was generally well tolerated , and the pharmacokinetic characteristics of btt-1023 in psoriasis patients were consistent with those observed in a previously completed study in rheumatoid arthritis ra patients .",neutral
1422,"in a media advisory , the ntsb said that after subsequent testing , `` the train detection system intermittently failed . ''",neutral
1423,"according to honka japan 's managing director marko saarelainen , honkarakenne exports about 200 ready made log houses to japan a year .",neutral
1424,"below are consolidated , unaudited results for amanda capital under ifrs reporting standards .",neutral
1425,the finnish daily kauppalehti surmises that finnish supplier rautaruukki has raised its prices above aker 's comfort zone .,neutral
1426,"tornio works employs 2,300 of whom more than 1,800 have been in the scope of the fixed-period or part-time temporary layoffs in april-october period .",neutral
1427,the result before taxes was a loss of 25.0 million euros .,neutral
1428,bhp billiton drags ftse lower after slashing dividend,negative
1429,"alma media holds 70 % of this company , the remaining shares being owned by the company 's key employees .",neutral
